商品名称,商品编码,商品类型,商品卖价,成本价,购买数量,商品总金额,成本总价,发货状态,配送单号,退款编号,退货方式,退款申请金额,退款原因,实际退款金额,退款公司名称,退款单号,实际退款时间,退款拒绝原因,申请退款时间,待结算佣金比率,实际商品购买价,店铺金额,平台金额,退款说明,买家退货说明,退货地址,是否返还库存,订单编号,店铺名称,订单内容,订单来源,订单类型,营销活动类型,支付流水号,支付流水号（多次支付）,整体提货编码,订单状态,支付状态,配送状态,退款状态,支付方式,配送方式,客户姓名,客户手机,客户固定电话,客户地址,客户ip,客户要求配送时间,客户留言信息,配送费用,订单优惠金额,优惠券金额,订单合计金额,订单调整金额,余额支付金额,抵扣之后应付金额,订单退款金额,支付时间,配送时间,签收时间,完成时间,卖家留言,商品件数,是否进行结算,门店名称,营销类型
测试 	,	,实物商品	,10.00	,0.00	,1	,10.00	,0.00	,已收货	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,10.00	,9.50	,0.50	,	,	,	,	,20220317141210002	,测试店铺	,测试 	,微信小程序	,普通订单	,	,20220317141210002	,	,	,已完成	,已支付	,已收货	,	,余额支付	,物流配送	,甘霖	,18727381157	,	,湖北省-武汉市-洪山区不不不不不	,171.83.116.94	,	,	,0.00	,0.00	,0.00	,10.00	,0.00	,10.00	,0.00	,0.00	,2022-03-17 14:12:34	,2022-03-17 14:13:15	,2022-03-17 14:14:29	,2022-03-17 14:14:41	,	,1	,是	,	,	
zongsuoshangpin 	,	,实物商品	,8.00	,0.00	,1	,8.00	,0.00	,已收货	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,8.00	,7.60	,0.40	,	,	,	,	,20220318153310001	,纵索店铺	,zongsuoshangpin 	,微信小程序	,普通订单	,	,20220318153310001	,	,	,已完成	,已支付	,已收货	,	,余额支付	,物流配送	,甘霖	,18727381157	,	,湖北省-武汉市-洪山区不不不不不	,171.113.165.254	,	,	,0.00	,0.00	,0.00	,8.00	,0.00	,8.00	,0.00	,0.00	,2022-03-18 15:33:47	,2022-03-18 15:34:18	,2022-03-18 15:34:32	,2022-03-18 15:34:39	,	,1	,是	,	,	
虚拟商品 	,	,虚拟商品	,80.00	,0.00	,1	,80.00	,0.00	,	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,80.00	,76.00	,4.00	,	,	,	,	,20220328104710001	,测试店铺	,虚拟商品 	,微信小程序	,虚拟订单	,	,20220328104710001	,	,	,已完成	,已支付	,	,	,余额支付	,	,	,18727381157	,	,	,171.113.167.18	,	,	,0.00	,0.00	,0.00	,80.00	,0.00	,80.00	,0.00	,0.00	,2022-03-28 10:47:15	,	,2022-03-28 10:47:15	,2022-03-28 10:47:46	,	,1	,是	,	,	
虚拟商品 	,	,虚拟商品	,80.00	,0.00	,1	,80.00	,0.00	,	,	,202203281051140001	,仅退款	,80.00	,拍错/多拍/不喜欢	,80.00	,	,	,2022-03-28 10:54:06	,	,2022-03-28 10:51:19	,5.00	,80.00	,76.00	,4.00	,	,	,	,	,20220328105010001	,测试店铺	,虚拟商品 	,微信小程序	,虚拟订单	,	,20220328105010001	,	,	,已完成	,已支付	,	,	,余额支付	,	,	,18727381157	,	,	,171.113.167.18	,	,	,0.00	,0.00	,0.00	,80.00	,0.00	,80.00	,0.00	,80.00	,2022-03-28 10:50:58	,	,2022-03-28 10:50:58	,2022-03-29 10:51:27	,	,1	,是	,	,	
测试 	,	,实物商品	,10.00	,0.00	,1	,10.00	,0.00	,已收货	,432504046554387	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,10.00	,9.50	,0.50	,	,	,	,	,20220413145110001	,测试店铺	,测试 	,微信小程序	,普通订单	,	,20220413145110001	,	,	,已完成	,已支付	,已收货	,	,余额支付	,物流配送	,甘霖	,18727381157	,	,湖北省-武汉市-洪山区不不不不不	,61.242.131.126	,	,	,0.00	,0.00	,0.00	,10.00	,0.00	,10.00	,0.00	,0.00	,2022-04-13 14:51:25	,2022-04-13 14:54:42	,2022-04-14 14:54:46	,2022-04-15 14:55:37	,	,1	,是	,	,	
虚拟商品 	,	,虚拟商品	,80.00	,0.00	,1	,80.00	,0.00	,	,	,202204181007160001	,仅退款	,80.00	,未按约定时间发货	,80.00	,	,	,2022-05-09 14:01:18	,	,2022-04-18 10:07:27	,5.00	,80.00	,76.00	,4.00	,	,	,	,	,20220418100610001	,测试店铺	,虚拟商品 	,微信小程序	,虚拟订单	,	,20220418100610001	,	,	,已关闭	,已支付	,	,	,余额支付	,	,	,18727381157	,	,	,61.242.131.104	,	,	,0.00	,0.00	,0.00	,80.00	,0.00	,80.00	,0.00	,80.00	,2022-04-18 10:06:58	,	,2022-04-18 10:06:58	,	,	,1	,	,	,	
测试 	,	,实物商品	,10.00	,0.00	,1	,10.00	,0.00	,	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,10.00	,9.50	,0.50	,	,	,	,	,20220418100710001	,测试店铺	,测试 	,微信小程序	,普通订单	,	,20220418100710001	,	,	,待发货	,已支付	,	,	,余额支付	,物流配送	,甘霖	,18727381157	,	,湖北省-武汉市-洪山区不不不不不	,61.242.131.104	,	,	,0.00	,0.00	,0.00	,10.00	,0.00	,10.00	,0.00	,0.00	,2022-04-18 10:07:53	,	,	,	,	,1	,	,	,	
虚拟商品 	,	,虚拟商品	,80.00	,0.00	,1	,80.00	,0.00	,	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,80.00	,76.00	,4.00	,	,	,	,	,20220505104630001	,测试店铺	,虚拟商品 	,微信小程序	,虚拟订单	,	,20220505104630001	,	,	,已完成	,已支付	,	,	,余额支付	,	,	,13667215825	,	,	,117.136.23.231	,	,	,0.00	,0.00	,0.00	,80.00	,0.00	,80.00	,0.00	,0.00	,2022-05-05 10:46:19	,	,2022-05-05 10:46:19	,2022-05-06 10:46:19	,	,1	,是	,	,	
测试商品 	,	,实物商品	,0.01	,0.00	,1	,0.01	,0.00	,	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,0.01	,0.00	,0.00	,	,	,	,	,20220510143950001	,测试店铺	,测试商品 	,微信小程序	,普通订单	,	,20220510143950001	,	,	,已关闭	,	,	,	,	,物流配送	,呵呵呵呵	,13333333333	,	,湖北省-武汉市-武昌区徐家棚街道恒大世纪广场	,27.18.145.6	,	,	,0.00	,0.00	,0.00	,0.01	,0.00	,0.00	,0.01	,0.00	,	,	,	,	,	,1	,	,	,	
测试商品 	,	,实物商品	,0.01	,0.00	,1	,0.01	,0.00	,	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,0.01	,0.00	,0.00	,	,	,	,	,20220510152250001	,测试店铺	,测试商品 	,微信小程序	,普通订单	,	,20220510152250001	,	,	,已关闭	,	,	,	,	,物流配送	,呵呵呵呵	,13333333333	,	,湖北省-武汉市-武昌区徐家棚街道恒大世纪广场	,27.18.145.6	,	,	,0.00	,0.00	,0.00	,0.01	,0.00	,0.00	,0.01	,0.00	,	,	,	,	,	,1	,	,	,	
测试商品 	,	,实物商品	,0.01	,0.00	,1	,0.01	,0.00	,	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,0.01	,0.00	,0.00	,	,	,	,	,20220513105510001	,测试店铺	,测试商品 	,微信小程序	,普通订单	,	,20220513105510001	,	,	,已关闭	,	,	,	,	,物流配送	,甘霖	,18727381157	,	,湖北省-武汉市-洪山区不不不不不	,171.113.166.153	,	,	,0.00	,0.00	,0.00	,0.01	,0.00	,0.00	,0.01	,0.00	,	,	,	,	,	,1	,	,	,	
测试商品 	,	,实物商品	,0.01	,0.00	,1	,0.01	,0.00	,	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,0.01	,0.01	,0.00	,	,	,	,	,20220606132210001	,测试店铺	,测试商品 	,微信小程序	,普通订单	,	,20220606132210001	,	,	,待发货	,已支付	,	,	,余额支付	,物流配送	,甘霖	,18727381157	,	,湖北省-武汉市-洪山区不不不不不	,171.113.164.152	,	,	,0.00	,0.00	,0.00	,0.01	,0.00	,0.01	,0.00	,0.00	,2022-06-06 13:22:57	,	,	,	,	,1	,	,	,	
测试商品 	,	,实物商品	,0.01	,0.00	,1	,0.01	,0.00	,	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,0.01	,0.00	,0.00	,	,	,	,	,20220606132410001	,测试店铺	,测试商品 	,微信小程序	,普通订单	,	,20220606132410001	,	,	,已关闭	,	,	,	,	,物流配送	,甘霖	,18727381157	,	,湖北省-武汉市-洪山区不不不不不	,171.113.164.152	,	,	,0.00	,0.00	,0.00	,0.01	,0.00	,0.00	,0.01	,0.00	,	,	,	,	,	,1	,	,	,	
测试商品 	,	,实物商品	,0.01	,0.00	,1	,0.01	,0.00	,	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,0.01	,0.01	,0.00	,	,	,	,	,20220606132410002	,测试店铺	,测试商品 	,微信小程序	,普通订单	,	,20220606132410002	,	,	,待发货	,已支付	,	,	,余额支付	,物流配送	,甘霖	,18727381157	,	,湖北省-武汉市-洪山区不不不不不	,171.113.164.152	,	,	,0.00	,0.00	,0.00	,0.01	,0.00	,0.01	,0.00	,0.00	,2022-06-06 13:24:44	,	,	,	,	,1	,	,	,	
测试商品 	,	,实物商品	,0.01	,0.00	,1	,0.01	,0.00	,	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,0.01	,0.00	,0.00	,	,	,	,	,20220606132510001	,测试店铺	,测试商品 	,微信小程序	,普通订单	,	,20220606132510001	,	,	,已关闭	,	,	,	,	,物流配送	,甘霖	,18727381157	,	,湖北省-武汉市-洪山区不不不不不	,171.113.164.152	,	,	,0.00	,0.00	,0.00	,0.01	,0.00	,0.00	,0.01	,0.00	,	,	,	,	,	,1	,	,	,	
ceihi00 	,	,实物商品	,20.00	,0.00	,1	,20.00	,0.00	,	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,20.00	,0.00	,0.00	,	,	,	,	,20220613151680001	,测试店铺	,ceihi00 	,微信小程序	,普通订单	,	,20220613151680001	,	,	,已关闭	,	,	,	,	,物流配送	,王志广	,15927119597	,	,湖北省-武汉市-武昌区积玉桥街道恒大世纪广场4005	,223.104.122.96	,	,	,0.00	,0.00	,0.00	,20.00	,0.00	,0.00	,20.00	,0.00	,	,	,	,	,	,1	,	,	,	
ceihi00 	,	,实物商品	,20.00	,0.00	,1	,20.00	,0.00	,	,	,202206131525270001	,仅退款	,20.00	,拍错/多拍/不喜欢	,20.00	,	,	,2022-06-13 15:27:36	,	,2022-06-13 15:25:37	,5.00	,20.00	,19.00	,1.00	,不要了	,	,	,	,20220613151980001	,测试店铺	,ceihi00 	,微信小程序	,普通订单	,	,20220613151980001	,	,	,已关闭	,已支付	,	,	,余额支付	,物流配送	,王志广	,15927119597	,	,湖北省-武汉市-武昌区积玉桥街道恒大世纪广场4005	,111.181.8.179	,	,	,0.00	,0.00	,0.00	,20.00	,0.00	,20.00	,0.00	,20.00	,2022-06-13 15:19:37	,	,	,	,	,1	,	,	,	
ceihi00 	,	,实物商品	,20.00	,0.00	,1	,20.00	,0.00	,	,	,202206131525280001	,仅退款	,20.00	,协商一致退款	,20.00	,	,	,2022-06-13 15:27:18	,	,2022-06-13 15:25:26	,5.00	,20.00	,19.00	,1.00	,	,	,	,	,20220613152170001	,测试店铺	,ceihi00 	,微信小程序	,普通订单	,	,20220613152170001	,	,	,已关闭	,已支付	,	,	,余额支付	,物流配送	,张亮	,18271963152	,	,湖北省-武汉市-洪山区珞瑜路鲁广旁709研究所25栋3单元101	,171.113.167.13	,	,	,0.00	,0.00	,0.00	,20.00	,0.00	,20.00	,0.00	,20.00	,2022-06-13 15:21:12	,	,	,	,	,1	,	,	,	
ceihi00 	,	,实物商品	,20.00	,0.00	,1	,20.00	,0.00	,	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,20.00	,19.00	,1.00	,	,	,	,	,20220615155770001	,测试店铺	,ceihi00 	,微信小程序	,普通订单	,	,20220615155770001	,	,	,待发货	,已支付	,	,	,余额支付	,物流配送	,张亮	,18271963152	,	,湖北省-武汉市-洪山区珞瑜路鲁广旁709研究所25栋3单元101	,171.83.116.6	,	,	,0.00	,0.00	,0.00	,20.00	,0.00	,20.00	,0.00	,0.00	,2022-06-15 15:57:02	,	,	,	,	,1	,	,	,	
ceihi00 	,	,实物商品	,20.00	,0.00	,1	,20.00	,0.00	,	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,20.00	,19.00	,1.00	,	,	,	,	,20220615160670001	,测试店铺	,ceihi00 	,微信小程序	,普通订单	,	,20220615160670001	,	,	,待发货	,已支付	,	,	,余额支付	,物流配送	,张亮	,18271963152	,	,湖北省-武汉市-洪山区珞瑜路鲁广旁709研究所25栋3单元101	,171.83.116.6	,	,	,0.00	,0.00	,0.00	,20.00	,0.00	,20.00	,0.00	,0.00	,2022-06-15 16:06:41	,	,	,	,	,1	,	,	,	
ceihi00 	,	,实物商品	,20.00	,0.00	,1	,20.00	,0.00	,	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,20.00	,19.00	,1.00	,	,	,	,	,20220615163370001	,测试店铺	,ceihi00 	,微信小程序	,普通订单	,	,20220615163370001	,	,	,待发货	,已支付	,	,	,余额支付	,物流配送	,张亮	,18271963152	,	,湖北省-武汉市-洪山区珞瑜路鲁广旁709研究所25栋3单元101	,171.83.116.6	,	,	,0.00	,0.00	,0.00	,20.00	,0.00	,20.00	,0.00	,0.00	,2022-06-15 16:33:42	,	,	,	,	,1	,	,	,	
ceihi00 	,	,实物商品	,20.00	,0.00	,1	,20.00	,0.00	,	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,20.00	,19.00	,1.00	,	,	,	,	,20220615171670001	,测试店铺	,ceihi00 	,微信小程序	,普通订单	,	,20220615171670001	,	,	,待发货	,已支付	,	,	,余额支付	,物流配送	,张亮	,18271963152	,	,湖北省-武汉市-洪山区珞瑜路鲁广旁709研究所25栋3单元101	,171.83.116.6	,	,	,0.00	,0.00	,0.00	,19.00	,0.00	,19.00	,0.00	,0.00	,2022-06-15 17:16:13	,	,	,	,	,1	,	,	,	
ceihi00 	,	,实物商品	,20.00	,0.00	,1	,20.00	,0.00	,	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,20.00	,19.00	,1.00	,	,	,	,	,20220615172570001	,测试店铺	,ceihi00 	,微信小程序	,普通订单	,	,20220615172570001	,	,	,待发货	,已支付	,	,	,余额支付	,物流配送	,张亮	,18271963152	,	,湖北省-武汉市-洪山区珞瑜路鲁广旁709研究所25栋3单元101	,171.83.116.6	,	,	,0.00	,0.00	,0.00	,19.00	,0.00	,19.00	,0.00	,0.00	,2022-06-15 17:25:59	,	,	,	,	,1	,	,	,	
ceihi00 	,	,实物商品	,20.00	,0.00	,1	,20.00	,0.00	,	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,20.00	,0.00	,0.00	,	,	,	,	,20220615175870001	,测试店铺	,ceihi00 	,微信小程序	,普通订单	,	,20220615175870001	,	,	,已关闭	,	,	,	,	,物流配送	,张亮	,18271963152	,	,湖北省-武汉市-洪山区珞瑜路鲁广旁709研究所25栋3单元101	,171.83.116.6	,	,	,0.00	,0.00	,0.00	,19.00	,0.00	,0.00	,19.00	,0.00	,	,	,	,	,	,1	,	,	,	
ceihi00 	,	,实物商品	,20.00	,0.00	,1	,20.00	,0.00	,	,	,	,	,0.00	,	,0.00	,	,	,	,	,	,5.00	,20.00	,0.00	,0.00	,	,	,	,	,20220615175870002	,测试店铺	,ceihi00 	,微信小程序	,普通订单	,	,20220615175870002	,	,	,已关闭	,	,	,	,	,物流配送	,张亮	,18271963152	,	,湖北省-武汉市-洪山区珞瑜路鲁广旁709研究所25栋3单元101	,171.83.116.6	,	,	,0.00	,0.00	,0.00	,19.00	,0.00	,0.00	,19.00	,0.00	,	,	,	,	,	,1	,	,	,	
